Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Jesus Starlyn Caba","SS","Int'l Amateur",2023,"17.1083333","Dominican Republic",,"PHI",3000000,"5' 10""","160","L","R","40+","High","Caba is an electric infield athlete with plus-plus footwork, hands, and a plus arm, perhaps the best defender in the January 2023 international class. His swing will likely be refined as he adds strength through maturation, but he's shown promising hand-eye coordination to this point. His verbal deal with Philadelphia is thought to be for about $3 million.",,
"Brailer Guerrero","RF","Int'l Amateur",2023,"16.5555555","Dominican Republic",,"TBR",3700000,"6' 2""","190","L","R","40+","High","Guerrero has one of the most picturesque swings in the 2023 international class, a lovely and dynamic cut that produces all-fields power. At his size, he is a certain corner outfielder, but his hitting talent makes him a potential everyday force.",,
"Enmanuel Bonilla","RF","Int'l Amateur",2023,"16.9805555","Dominican Republic",,"TOR",4100000,"6' 3""","200","R","R","40+","High","The burly Bonilla already has rare power for a prospect his age, and it is weaponized by very advanced feel to hit. A scout with awareness of its gravity put a Manny Ramirez swing comp on Bonilla. There's a chance his frame gets to a LF/DH area because he's already so physical, but Bonilla looks like a potential middle-of-the-order force.",,
"Luis Danys Morales","SP","Int'l Amateur",2023,"20.3083333","Cuba",,"OAK",3000000,"6' 3""","176","R","R","40+","High","The timing of Morales' defection from the Cuban U-23 national team (it was summer of 2021) meant only teams that had yet to commit bonus pool space could make him a competitive offer. It may have been a seller's market, though, as it seems more teams than usual had (and still have) about $2 million in space remaining. It meant Oakland's offer had to approach $3 million (as reported by Cuban journalist Francys Romero) to get clear of other clubs. The A's often have late-market money remaining and have used it on late-market Cuban players to mixed results. Morales was a known prospect well before he defected and even pitched a little bit in Series Nacional, working with a fastball/curveball combination there. In post-departure workouts he would sit 94-98 mph with upshot angle and riding life on a fastball that leads a four-pitch mix. While his arm action is a little long, Morales' delivery is otherwise athletic, explosive, and beautiful. He has a perfect pitcher's build at a broad-shouldered 6-foot-3 and presents Oakland with a malleable, exciting collection of abilities that project into the middle of a rotation eventually.",,
"Derniche Valdez","SS","Int'l Amateur",2023,"16.7944444","Dominican Republic",,"CHC",2800000,"6' 1""","180","R","R","40+","High","While he's only of medium build, Valdez is one of the better infield athletes in the 2023 class, as is apparent in his infield feet and actions as well as the way his lower half works throughout his swing. While he's on the smaller side, Valdez does not get cheated at the plate and has a huge, flexible stride that coaxes more power than you'd expect from his little frame. He is quite like Rangers prospect Luisangel Acuña in this way.",,
"Camilo Diaz","3B","Int'l Amateur",2023,"17.3611111","Dominican Republic",,"HOU",2250000,"6' 0""","170","R","R","40+","High","Looking for elite bat speed? Diaz comes close, his hips and torso turning like the head of an owl in the blink of an eye. While Diaz rotates as fast as anyone in his class, he does so with some mechanical flaws and shortcuts that make his hit tool feel flimsy. Scouts who combine this with a third base projection tend to be lower on him, but if Diaz can refine his barrel feel without sacrificing bat speed, it won't matter where he ends up playing defense. Originally rumored to be headed to Texas for $3 million, Diaz is now rumored to have an agreement with Houston for closer to $2.5 million.",,
"Rainel Arias","RF","Int'l Amateur",2023,"16.7111111","Dominican Republic",,"SFG",2697500,"6' 1""","175","R","R","40+","High","In keeping with the Giants' style of signing international prospects, Arias is in the Luciano/Canario vein: he swings incredibly hard for a player his age, and already has the ability to put balls out to right/center field and do big damage with conservative footwork. Scouts see Arias in the traditional right field mold, with power-over-hit skillset on offense, the chance to grow into more raw thump, and a plus arm.",,
"Sebastian Walcott","3B","Int'l Amateur",2023,"16.8361111","Bahamas",,"TEX",3200000,"6' 4""","190","R","R","40+","High","Walcott was seen some in the U.S. during the fall of 2021 and leapt off the field because of his physicality and power. He looks like a future NFL tight end in his uniform and has the kind of pull power you'd expect from a prospect built like that. He has some crude-looking but effective feel to hit and can bend at the waist to poke outer-half stuff the other way, but Walcott's bat isn't in the hitting zone for very long and his breaking ball recognition during those stateside games was poor. Walcott is a balletic and graceful infield defender, which is incredible to watch at his size, and he might be a plus third base defender at peak. He's a high-risk hit tool prospect with huge power upside.",,
"Kevin Ereu","SS","Int'l Amateur",2023,"16.6416666","Venezuela",,"MIL",1400000,"5' 11""","170","R","R","40","High","One of the more polished all-around players in the class, Ereu has plus infield footwork and actions, and is physical enough to threaten the gaps on offense. He looks like a third round West Coast college infielder in his skills and build, and is perceived to have a high floor.",,
"Yoeilin Cespedes","2B","Int'l Amateur",2023,"17.3527777","Dominican Republic",,"BOS",1400000,"5' 10""","160","R","R","40","Med","Stocky and strong, Cespedes is FanGraphs' favorite flavor of prospect: a compact middle infielder with a water-carrying hit tool. His size limits his power projection and he may end up a Yonny Hernandez-type of utilityman, especially if he can't stick at shortstop, but Cespedes could end up with enough stick to be an everyday man at the keystone.",,
"Gian Zapata","CF","Int'l Amateur",2023,"17.3388888","Dominican Republic",,"ARI",950000,"6' 3""","175","L","L","40","High","Among the most physically projectable athletes in the 2023 class, Zapata is a typical Diamondbacks international prospect in the Alvin Guzman mold. You can dream on how much power Zapata will grow into while also hoping that he'll stay in center field, though his rocket arm will be an asset in right if he eventually has to move.",,
"Ariel Castro","RF","Int'l Amateur",2023,"16.9111111","Cuba",,"MIN",2400000,"6' 2""","180","L","L","40","High","Built like an NFL cornerback, the sinewy Castro generates real pull-side thunder with his hands, and does so in a short distance. He's not an especially loose athlete or rotator, but his combination of present power and body projection make him a high-ceiling corner outfield prospect.",,
"Junior Arias","RF","Int'l Amateur",2023,"16.275","Dominican Republic",,"TOR",,"6' 2""","180","R","R","40","High","The lanky, broad-shouldered Arias has a chance to grow into big power. His swing has less verve than those of his peers, but Arias' feel to hit is pretty good despite his medium twitch. Scouts who think the bat speed will arrive as part of Arias' athletic development like him most, as that would give him the hit/power combination to profile in right field (his arm is plus).",,
"Yerlin Luis","LF","Int'l Amateur",2023,"17.35","Dominican Republic",,"CLE",850000,"5' 10""","160","L","L","40","Med","The diminutive Luis swings harder than you'd expect given his size, and he has precocious feel for the barrel. While he lacks the typical frame-based power projection of an international outfield prospect, his hit tool may be good enough for him to outperform his raw power in games.",,
"Andy Acevedo","CF","Int'l Amateur",2023,"17.1361111","Dominican Republic",,"WSN",1300000,"5' 10""","150","L","L","40","Med","A hitterish little lefty stick, Acevedo's polished hit tool drives an otherwise vanilla corner outfield profile. He might hit enough to be a good everyday player depite the middling other tools.",,
"Reiner Lopez","SP","Int'l Amateur",2023,"16.7611111","Venezuela",,"STL",500000,"6' 7""","180","R","R","40","High","Lopez's closest body comp is to Pelicans forward Brandon Ingram, who Lopez is only an inch shorter than at age 16 (my sources have him listed at 6-foot-7). There's a real possibility that Lopez reaches 7-feet tall by the time he's done growing. He is shockingly graceful and athletic for a pitcher his size, and even though we're currently talking about a prospect throwing 87-89 mph and peaking around 93, there are reasons to project on Lopez's arm strength that we hope are obvious.",,
"Emil Valencia","LF","Int'l Amateur",2023,"17.2361111","Dominican Republic",,"HOU",897500,"6' 0""","170","R","R","40","High","He's going to have to rake since it appears his best defensive fit is in left field, but Valencia's lovely swing might enable that. He is short to the ball, track pitches very well, moves the barrel all over the zone, and is strong enough to do damage. Simply one of the most polished hitters in the class, Valencia is purported to have a verbal deal with Houston.",,
"Jun-seok Shim","SP","Int'l Amateur",2023,"18.6833333","South Korea",,"PIT",,"6' 4""","215","R","R","40","High","Shim skipped the KBO draft in order to sign with an MLB club right away, and reports in Korean media suggest he'll head to the U.S. in January to work out. He's a big, physically-mature righty with huge present arm strength, creeping into the upper-90s. His slow, mid-70s curveball is easy to identify out of his hand but it has lovely shape and depth of break, so perhaps it can be sculpted into a more traditional big league breaking ball. Opinions around Shim vary because he offers less physical projection than is typical in this market, even for an older pitcher. A source with a Korean club indicated to FanGraphs that they consider Pittsburgh the favorites to sign Shim, though that is less certain than the other projections made for the international amateur market on this site.",,
"Daiverson Gutierrez","C","Int'l Amateur",2023,"17.3444444","Venezuela",,"NYM",1900000,"6' 1""","160","R","R","40","High","Sometimes prospects change during the time between when a team and player have a verbal agreement and when the player actually signs. There are ops personnel and agents who think Gutierrez has gotten quite big, quite quickly in the months leading up to actually signing, but it hasn't changed where he fits on defense and it could change again in a short amount of time because his career has just begun. He is otherwise a typically exciting teenage catching prospect with a plus arm and potential plus raw power.",,
"Ludwig Espinoza","SS","Int'l Amateur",2023,"17.0916666","Venezuela",,"CHC",1000000,"5' 10""","140","S","R","40","Med","A glove-first utility type, Espinosa is a true shortstop with precocious feel to hit.",,
"Jeremy Rodriguez","SS","Int'l Amateur",2023,"16.6138888","Venezuela",,"ARI",1250000,"6' 0""","170","L","R","35+","Med","Slick and smooth on defense, Rodriguez has a well-composed medium frame and a balanced, compact swing. He's a well-rounded prospect without a premium tool.",,
"Arnaldo Lantigua","RF","Int'l Amateur",2023,"17.0722222","Dominican Republic",,"LAD",697500,"6' 3""","180","R","R","35+","High","A gigantic-framed youngster with exciting rotational athleticism and power potential, Lantigua is a typical corner outfield power prospect thanks to his physical projection.",,
"Tony Ruiz","OF","Int'l Amateur",2023,"17.1027777","Dominican Republic",,"BOS",,"6' 3""","180","R","R","35+","High","Another huge-framed corner outfield prospect with exciting power potential, Ruiz's frame and swing are reminiscent of Nick Castellanos.",,
"Robert Galaz","DH","Int'l Amateur",2023,"17.1472222","Dominican Republic",,"COL",,"6' 2""","180","R","R","35+","Med","This player's name appears in a multitude of different ways: Robert Calaz, Robert Gala and, as initially dictated to FanGraphs by a scouting source, Robert Galaz. We'll update if necessary when his signing (our sources: Colorado for about $2.7 million) is made official. Galaz is a huge power-hitting prospect with plus pull-side pop. He's a bit lumbering and, when that's combined with his size, is toward the very bottom of this class' long-term defensive projection. He'll be developed as a corner outfielder; the DH designation here is more to indicate we think that's in play for him rather than his immediate position.",,
"Janero Miller","CF/SP","Int'l Amateur",2023,"17.0138888","Bahamas",,"MIA",950000,"6' 2""","160","S","L","35+","High","A two-way prospect with exciting tools, Miller has been seen often in the U.S. (usually at tournaments in Florida) and is expected to sign with Miami. He's a projectable switch-hitter with crude feel for the barrel and the speed to be developed in center field, while on the mound he's peaking in the low-90s and has a slow, shapely breaking ball. He's a deep projection prospect likely to get a mid-six-figure bonus from the Marlins.",,
