Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Johan De Los Santos","CF","Int'l Amateur",2025,"16.475","Dominican Republic",,"PIT",2250000,"5' 11""","160","L","R","40+","High","The brother of Pirates prospect Yordany De Los Santos, Johan is speculatively projected to center field here due to his sketchy infield look at the U18 WBSC tournament in August 2024. He ran a jailbreak 3.8 and 4.0 (meep meep) at that tournament, though. That speed will play in center if development on the infield doesn't occur. De Los Santos' hands are really lively and he rotates with verve through contact. His hands load low, his swing has a late hitch, and it might need adjustment against pro velocity. It's also possible things simplify for him via strength and maturity, and that it won't take a mechanical overhaul at all. He's a Roman Quinn type prospect.",,
"Juan Tomas","SS","Int'l Amateur",2025,"17.1305555","Dominican Republic",,"CHC",1100000,"6' 3""","175","S","R","40+","High","Connected to the Marlins at an early point in the process, Thomas is now a Cubs commit. He has a long, skinny frame, and is a great athlete, but his swing is super raw. That extends to his defense at shortstop, too. There are scouts who think Thomas's righty swing is so raw that he should ditch it and just hit lefty. He's a prospect of extreme variance who could be enormously strong in his mid-20s.",,
"Deivid Coronil","SS","Int'l Amateur",2025,"17.2805555","Venezuela",,"SDP",900000,"6' 3""","165","S","R","40+","High","Coronil has a projection-driven profile at shortstop. He's shown burgeoning strength and power as signing day approaches. A graceful, low-to-the-ground defender, he makes effortless throws to first base on routine plays and has a good shot to stay at shortstop. His offensive output will depend on how much stronger Coronil can get. He had a slash-and-dash look for most of the commitment window, then more physicality arrived throughout 2024. There's hit tool risk, but Coronil otherwise checks a lot of exciting boxes.",,
"Daniel Hernandez","C","Int'l Amateur",2025,"16.9138888","Venezuela",,"WSH",1100000,"6' 0""","170","L","R","40+","High","Hernandez has a beautiful left-handed swing. He's wiry and athletic and has room for strength without compromising his athleticism. In addition to needing to get stronger in order to withstand the beating of catching, Hernandez needs to find a way to improve his throwing. His raw arm strength is okay, but his exchange is slow. This is a high-ceiling offensive catching prospect with enormous risk, mostly because of his position.",,
"Hye-Seong Kim","SS","KBO",2025,"26.0444444","Korea","Kiwoom Heroes","LAD",,"5' 10""","172","L","R","40","Med","A big part of Kim's big league projection comes from the assumption that his excellent second base defense will be able to translate to shortstop. Even though he is coming off a career-best power-hitting season in 2024 (his 11 homers and .458 SLG were both career highs), Kim's offensive skills would be a much better fit at shortstop. He's an athletic and rangy defender at the keystone and is great around the bag, but after a one-year trial at short after the departure of Ha-Seong Kim, the Heroes moved him back to second for the last several years. Kim is athletic enough to be a versatile defender and play a low-impact utility role.",,"kr3012639"
"Harold Rivas","CF","Int'l Amateur",2025,"16.6805555","Venezuela",,"BOS",950000,"6' 2""","170","R","R","40","High","Rivas is a speedy center field prospect whose defensive ceiling is meaningful because of his speed and arm strength. The sinewy outfielder also has an aggressive swing that generates plus bat speed. Rivas' swing is very long and he requires a ton of effort to swing hard. Whether or not he'll be able to successfully track pro pitches with a swing like this is debatable. Rivas' defense gives him a reasonable extra outfielder floor. Outcomes above that will depend on him outperforming this hit tool projection.",,
"Juan Cabada","SS","Int'l Amateur",2025,"16.7083333","Dominican Republic",,"CHC",1500000,"5' 11""","165","L","R","40","High","Cabada has one of the more polished and stable hit tools in the 2025 class. He's of compact build, has quick wrists, and sprays authoritative line drives into the gaps. Though he's not especially big, his best swings make the most of his body and produce some dangerous pull-side power. Cabada also runs well and has a good arm, enough that he has a shot to stick at shortstop (but isn't a lock). He could be a Yonathan Perlaza type of player if things don't work out at shortstop, and a good part-time, multipositional player if they do. Truly big impact might be tough for Cabada to come by due to a lack of size.",,
"Mani Cedeno","SS","Int'l Amateur",2025,"16.4194444","Dominican Republic",,"NYY",2500000,"5' 11""","180","R","R","40","Med","Cedeno is a medium-framed shortstop with maybe the best infield hands in the class. His glove is like a frog's tongue, and he has an unbelievably quick exchange. His range, footwork, arm strength, and overall athleticism are all closer to average. Cedeno has some pull power on middle-in mistakes, but is otherwise more vanilla in terms of bat speed and physical projection. He's a realistic utility fit.",,
"Gabriel Davalillo","C","Int'l Amateur",2025,"17.1916666","Venezuela",,"LAA",2000000,"5' 11""","200","R","R","40","High","Davalillo is a power-over-hit catcher with a plus arm. He has an incredibly strong lower body. Built like a celebrity's security detail, Davalillo generates impressive power during BP with a flick of his wrist. He doesn't track pitches well in games; his head flies all over the place and causes lots of swing and miss. His receiving and ball-blocking haven't been tested by pro stuff yet, but Davalillo is really twitchy and has the size of a prototypical primary catcher. Hit tool question marks keep Davalillo out of a higher upside FV tier, but he has big variance in both directions.",,
"Ayden Johnson","3B","Int'l Amateur",2025,"16.9222222","Bahamas",,"ATH",1500000,"6' 2""","180","R","R","40","High","Johnson is the best Bahamian prospect in the 2025 class. A physically mature, powerfully-built youngster, he has the look of a D-I running back prospect. He works out at shortstop, but at his size, he's a pretty good bet to move to third base. Johnson has precocious power; he lacks big physical projection but already has meaningful pop. His bat path is vertical, and he has a good chance to actualize in-game power. Johnson can awkwardly roll over his feet and ankles and lose balance in the box; scouts are mixed in their hit tool projection. Johnson is a volatile but talented power-hitting infield prospect on par with a mid-second rounder.",,
"Kenny Fenelon","CF","Int'l Amateur",2025,"17.2916666","Dominican Republic",,"MIL",1300000,"5' 11""","180","R","R","40","High","Scouts who really like Fenelon think he has a shot to be Mike Cameron. He is a six-foot quarter stick of dynamite with emphatic pull power against pitches in the down-and-in portion of the zone. He's incredibly twitchy and powerful for a hitter his age and size, and he's also fast enough to have a shot to remain in center field. Where Fenelon's profile gets sketchy is his hit tool. There are scouts who worry the amount of contact he made during their looks was entirely insufficient. At a muscular 6-feet, there's not a ton of physical projection here, either. Fenelon is fun and toolsy, but definitely risky.",,
"Shotaro Morii","TWP","Int'l Amateur",2025,"18.0833333","Japan",,"ATH",1500000,"6' 1""","181","L","R","40","High","Morii comes out of Toho High School in Tokyo and elected to skip the NPB Draft (which was held late in 2024) to come stateside as an amateur prospect. This is similar (but meaningfully different) than Rintaro Sasaki skipping the NPB Draft to go to Stanford and eventually be subject to the MLB Draft, though it sounds like Morii considered an NCAA path. Morii's agreement with the A's was first reported by a Yahoo! Japan writer. Morii is a viable prospect on both sides of the ball. He has pretty electric hands in the batter's box and has been up to 95 mph on the mound. He lacks great lateral range and might be a better fit at 2B/3B than shortstop. Though Morii is older than the rest of the class, he's likely a slower developmental burn as the A's figure out which side of the ball he fits best on.",,
"Brayan Cortesia","SS","Int'l Amateur",2025,"17.1694444","Venezuela",,"WSH",1920000,"6' 2""","190","R","R","40","High","Cortesia is generally considered more of a skills-over-tools utility type. He has the arm to play shortstop but evaluations of the other aspects of his defense are more variable. He has a large frame and somewhat mature build. Barring his hit tool outperforming projections, he looks like solid extra infielder.",,
"Kendry Martinez","2B","Int'l Amateur",2025,"17.2861111","Dominican Republic",,"SEA",2500000,"5' 11""","160","L","R","40","High","Martinez is an off-the-bus standout thanks to his projectable baseball frame, which is in the Josh Rojas mold. He's relatively short to the baseball with a downhill swing. It's a rhythmic, aesthetically pleasing cut, but Martinez has middling bat speed and explosion. That extends to his athleticism on defense. Scouts have a mix of second base and shortstop projections here; he isn't a lock to play short, and Martinez would need to outperform his hit/power projection to be an impact regular at the keystone.",,
"Warren Calcaño","SS","Int'l Amateur",2025,"17.2444444","Dominican Republic",,"KCR",2500000,"6' 2""","165","S","R","40","High","Calcaño is a lanky, projectable, switch-hitting shortstop with a defense-oriented toolset. A slick defender with very good range, his arm projects to be a fit on the left side of the infield. Calcaño has tracked pitches in games, including at the Future Stars Series and Perfect Game events. He needs to get much, much stronger to have anything resembling big league physicality. He isn't currently strong enough to replicate his BP swing in games, and he has a long, bottom-hand dominant cut that would limit him to slash-and-dash style of hitting unless there's progress made in this area. Calcaño's ceiling is more reasonably in the utility area.",,
"Jhoan De La Cruz","SS","Int'l Amateur",2025,"17.1638888","Dominican Republic",,"SDP",1000000,"5' 11""","170","S","R","40","High","Viewed as among the higher-floored players in the class, mostly because of defensive ability at shortstop, De La Cruz runs and throws well enough to stay there; multiple sources describe him as having a high baseball IQ, good instincts, or something of that ilk. De La Cruz has a medium build and below-average bat speed right now, and there are scouts who don't think he will be strong enough to be an impact offensive player. His hands work well in the box. His left-handed swing is driven by his top hand, while his righty swing is a little longer; both are well-balanced and coordinated. De La Cruz has less overt ceiling than most of San Diego's top signees, but he's still a good prospect, with more of a utility look at first blush.",,
"Juan Sanchez","SS","Int'l Amateur",2025,"17.3","Dominican Republic",,"TOR",997500,"6' 2""","190","R","R","40","High","Sanchez's power and arm strength are his carrying tools. He's a bigger-framed left side infielder with potential strikeout issues. There are lots of corner outfielders and corner infielders with similar profiles in this international class, but Sanchez might do enough to stay at shortstop.",,
"Jose Luis Peña","SS","Int'l Amateur",2025,"16.4138888","Dominican Republic",,"BAL",997500,"6' 2""","155","R","R","40","High","One of the youngest prospects in the 2025 Class, Peña has gotten stronger during the commitment window. From the jump, he's been a viable shortstop prospect with good speed, but now he looks like he also has a shot to do some damage on offense if he can keep getting stronger.",,
"Darell Morel","3B","Int'l Amateur",2025,"17.3333333","Dominican Republic",,"PIT",1778600,"6' 3""","180","L","R","40","High","Morel had a deal with the Dodgers for a little north of $1 million but worked out for teams the week before signing day (in Dodgers gear) and was offered (and agreed to) $1.8 million by Pittsburgh the next day. He's a super lanky and projectable infielder with a plus arm and plus power projection. Morel's size at maturity will likely lead to a third base fit. There's hit tool risk here; scouts have seen him whiff during BP. Morel has a risky, high-upside corner profile.",,
"Royel Strop","CF","Int'l Amateur",2025,"16.6138888","Dominican Republic",,"STL",1400000,"6' 1""","180","L","L","40","High","The son of former (and recent) big league reliever Pedro Strop, Royel is a projectable center field prospect with above-average bat speed. His swing has a hitch that might need to be cleaned up in pro ball. If it isn't, there could be a lot of strikeouts here. Strop has the speed to develop in center field for now, but he's big enough that a move to a corner is possible. If he does have to move, it will be to left field due to a lack of arm strength.",,
"Maikel Coret","RF","Int'l Amateur",2025,"17.3083333","Dominican Republic",,"TBR",1600000,"6' 2""","190","R","R","40","High","Coret is a fairly typical righty-hitting corner outfield prospect. He has a big, projectable frame and already swings quite hard. His hands work in a long loop and Coret lacks precise feel for the barrel. He has a sizable amount of hit tool risk.",,
"Elian De La Cruz","RF","Int'l Amateur",2025,"17.3055555","Dominican Republic",,"ARI",1100000,"6' 1""","180","R","R","40","High","De La Cruz is a physical, righty-hitting corner outfield prospect with some of the most advanced raw power in the class. There are scouts who have a future 70 on his raw pop. De La Cruz has an odd, shallow load and a short stride. Scouts think his hit tool will mature south of average. He has a pretty standard right field profile for this market.",,
"Warel Solano","SS","Int'l Amateur",2025,"17.3222222","Dominican Republic",,"TBR",1050000,"6' 1""","170","R","R","40","High","While most of the other 2025 international shortstop prospects who are signing for less than $2 million are good defenders without a ton of offensive upside, Solano's longer-levered frame has more room for strength at maturity, and hopefully with that will come power. That said, Solano does have hit tool risk. He currently has an enormous bat wrap and a huge stride that might be too elaborate to time consistently. He's a graceful defender for his size who hopefully will grow into another grade of arm strength as he fills out. He's a risky power projection shortstop prospect.",,
"Raymer Medina","SS","Int'l Amateur",2025,"17.2083333","Dominican Republic",,"TBR",1100000,"5' 11""","170","S","R","40","High","Medina is a medium-framed, switch-hitting middle infielder with a well-rounded toolset. A lack of size prevents any of those tools from being projected to plus, and there are scouts who think he's a better fit at second base than at shortstop. Medina's swings are like mirror images of each other; it's remarkable how similar to the cuts are for a hitter this young. Medina is a sound fielder with great feet and hands. His max-effort arm strength is a fit at shortstop, but his arm strength otherwise might not be.",,
"Shinnosuke Ogasawara","SP","NPB",2025,"27.3472222","Japan","Chunichi Dragons","WSN",,"5' 11""","183","L","L","35+","Low","A strike-thrower with fringe stuff, Ogasawara's command should allow him to stay out of trouble enough to be a sixth starter type at the MLB level.",,
"Kevin Defrank","SP","Int'l Amateur",2025,"16.4277777","Dominican Republic",,"MIA",560000,"6' 3""","190","R","R","35+","High","Defrank was associated with a couple of teams during the scouting process but seems to have settled with Miami on a mid-six-figure bonus. He is one of the better pitchers in the 2025 class, a prototypical 6-foot-3 righty whose fastball has already peaked in the mid-90s; based on his build, delivery, and athleticism, that velo is likely to increase as he matures. He also has a fair changeup.",,
"Darwin Ozuna","RF","Int'l Amateur",2025,"16.8083333","Dominican Republic",,"ATH",850000,"6' 3""","195","R","R","35+","High","Ozuna is one of the most exciting athletes in the class, a 6-foot-3 outfielder with a wide receiver's build and big showcase tools. Power, speed, and arm strength drive his profile. Both his feel to hit and comfort in center field need significant polish.",,
"Eliomar Garces","SS","Int'l Amateur",2025,"17.3444444","Venezuela",,"TBR",1600000,"5' 10""","165","S","R","35+","High","A precocious shortstop defender, Garces has exceptional footwork and actions, and enough arm strength for the left side of the infield. He's somewhat more projectable than some of the other glove-oriented shortstops in the 2025 class, but he's lacking in bat speed. His upside is contingent upon him getting stronger, otherwise Garces' ceiling is realistically a good-fielding utilityman.",,
"Haritzon Castillo","SS","Int'l Amateur",2025,"16.8111111","Venezuela",,"MIN",947500,"6' 0""","175","S","R","35+","High","An advanced contact hitter, Castillo is also a suitable shortstop with enough arm and range for short. Like so many others in this class, he has a realistic utility ceiling.",,
"Wilfri De La Cruz","3B","Int'l Amateur",2025,"17.3333333","Dominican Republic",,"CHC",2300000,"6' 2""","180","S","R","35+","High","De La Cruz has a square-shouldered frame with slightly above-average size and physical projection. Scouts have his defensive fit assessed as a mix of shortstop and third base, with more of the latter. He's strong for age, and though he is a little less projectable than most of his peers, he has an easy, comfortable swing. De La Cruz bat path is long, and his bat speed from the left side (average) is better than from the right. He's had a mixed in-game performance as a hitter.",,
"Santiago Leon","SS","Int'l Amateur",2025,"16.5555555","Venezuela",,"MIN",1697500,"6' 1""","170","R","R","35+","High","Leon has a medium frame and has become meaningfully stronger during the commitment window. His max-effort arm strength is above-average but his arm accuracy is a tad spotty. Still, he otherwise has a favorable shortstop projection. Leon's build at time of signing limits his long-term power projection. He has average bat speed, and his swing has a loopy uphill path through contact. It's more of a utility ceiling look.",,
"Alejandro Cruz","3B","Int'l Amateur",2025,"18.0361111","Cuba",,"CHW",2000000,"6' 3""","180","R","R","35+","High","Cruz is a projectable third baseman with below-average bat speed at present. He's a slick third base defender and advanced on-field decision maker. His arm strength is a little light for third base right now, but should arrive as Cruz matures. How much that also applies to his power and strength with the bat in his hands will dictate whether he can be a threat on offense.",,
"Lieberts Aponte","SS","Int'l Amateur",2025,"17.1861111","Venezuela",,"CIN",1900000,"6' 0""","160","R","R","35+","High","One of the many defense-first shortstops in the class, Aponte is a very twitchy, undersized infielder with great hands and actions. He desperately needs to get stronger to have any shot of hitting enough to be a regular big leaguer.",,
"Yulian Barreto","SS","Int'l Amateur",2025,"17.3138888","Venezuela",,"SFG",1118700,"5' 10""","160","R","R","35+","High","Another very small, defense-oriented shortstop, I had initial notes on Barreto agreeing to a more lucrative deal, but he now seems poised to sign for a little shy of $1 million. He's a skilled, smaller player with good defensive hands and actions. His offensive upside is limited by a lack of size and power projection.",,
"Breyson Guedez","LF","Int'l Amateur",2025,"17.2972222","Venezuela",,"ATH",1500000,"5' 10""","160","L","L","35+","High","Guedez, who is similar to Rangers prospect Yeison Morrobel in terms of his build, is a tweener outfield prospect with good bat speed and an awkward looking swing. Guedez can move the barrel around some, but his bat path isn't on plane with the baseball for very long. He's got good bat speed but is a smaller guy without a ton of long-term power projection. If he needs to move to an outfield corner, it will be tough for him to have prototypical power.",,
"Djean Macares","CF","Int'l Amateur",2025,"16.7055555","Aruba",,"SFG",1000000,"5' 10""","175","L","L","35+","High","Macares is a stocky, contact-oriented outfield prospect with a fairly mature build. He was the best hitter at the WBSC's U-18 European Championships, where Macares swung and missed just twice in 39 swings. His cut is usually on time to pull the ball and is geared for lift. Macares doesn't have big raw juice nor physical projection, and he may instead be a table-setter type of hitter in a part time outfield role.",,
"Elorky Rodriguez","LF","Int'l Amateur",2025,"17.0527777","Dominican Republic",,"TEX",1097500,"5' 10""","175","L","R","35+","High","Elorky is a compact corner outfield prospect with a great-looking swing. Of smaller, more mature build, it's tough to project prototypical corner power for Rodriguez, but he might have a balanced enough offensive skill set to be a righty-mashing platoon type.",,
"Christopher Acosta","SS","Int'l Amateur",2025,"16.9638888","Dominican Republic",,"MIL",1100000,"6' 1""","180","R","R","35+","High","Acosta is a good little athlete who requires a lot of effort to swing hard. Even as he's become stronger during the commitment window and Acosta's swing has become better connected, his head still whips around when he takes a bigger hack; it might speak to issues against pro quality stuff. Acosta doesn't have monster tools on either side of the ball. He's well-rounded and athletic but not especially explosive, and he has a realistic utility fit.",,
"Carlos Taveras","LF","Int'l Amateur",2025,"16.625","Dominican Republic",,"MIN",1100000,"6' 0""","185","L","R","35+","High","Similar to current Twins outfield prospect Kala'i Rosario, Taveras is a very muscular corner outfield prospect with power. Also similar to Rosario, his bat isn't in the hitting zone for very long, which creates strikeout risk.",,
"Kamuel Villar","SS","Int'l Amateur",2025,"17.3611111","Dominican Republic",,"COL",750000,"6' 0""","170","L","R","35+","High","Villar is a lefty-hitting infielder who is at least as likely to end up at second or third base as he is shortstop. He is fairly projectable and already has some verve and authority in his wrists.",,
