Name,Pos,Player Type,ETA,Age,Country,Current Team,Proj Team,Bonus,Ht,Wt,B,T,FV,Risk,Report,Video,PlayerId
"Victor Acosta","SS","Int'l Amateur",2021,"16.5972222","Dominican Republic","SDP","SDP",1500000,"5' 11""","165","S","R","40","Med","As is often the case for a switch-hitter this age, Acosta's two swings are fraternal rather than identical twins and they vary in their efficacy. His barrel drags through the zone from the left side, making it hard for him to turn on pitches and causing him to pepper the opposite field; his righty swing is more generic. But he gets the bat to the ball from both sides and, though small, is a pretty dynamic athlete who might grow into some pop the way D-backs shortstop Geraldo Perdomo has. Acosta has plus defensive feet, hands, and actions, making him a likely shortstop. If he can make even average contact while playing a good defensive middle infield, he'll have a long big league career.",,
"Manuel Beltre","SS","Int'l Amateur",2021,"16.6","Dominican Republic","TOR","TOR",2800000,"5' 11""","165","R","R","40","Low","Because he has spent so much time playing travel ball in the US (he's committed to FIU), Beltre is easily the most-scouted player on the International Players tab of The Board, even more than the foreign pro players. He's hit well in games against US high schoolers while playing sound infield defense at various positions. He's not all that toolsy but does have sneaky power for his size and he's perhaps the most driven, baseball-loving youngster in the class. He looks like a utility infielder if you just evaluate the tools, but scouts love the makeup and think it may carry him to an everyday role.",,
"Yeferson Tineo","SS","Int'l Amateur",2021,"17.1805555","Dominican Republic","TEX",,,"6' 0""","170","S","R","40","Med","Tineo is a very twitchy, switch-hitting shortstop with plus hands and actions, a plus arm, and good bat control for such a young switch-hitter. He is very slight of build.",,
"Norge Vera","RHP","Int'l Amateur",2021,"20.6222222","Cuba","CHW","CHW",1500000,"6' 3""","185","R","R","40","Med","Vera has been up to 97 but during pre-agreement workouts he lived in the 90-94 range. He has a cutter, curveball and changeup, all of which are occasionally good, but inconsistent. He's about the age of a 2021 college pitcher, and his stuff and frame are comparable to those of Florida's Tommy Mace, who also has a big frame and arm but three inconsistent secondaries.","QEVU9Rx1GQk",
"Angel Genao","SS","Int'l Amateur",2021,"16.6555555","Dominican Republic","CLE","CLE",1000000,"5' 11""","150","R","R","40","Med","Cleveland seems to prioritize switch-hitting, up-the-middle players in the international market and they have yet another in Genao, who has become much more physical in the months leading up to signing. His swing is crude from both sides but he's a good athlete with a good frame.",,
"Armando Cruz","SS","Int'l Amateur",2021,"16.9972222","Dominican Republic","WSN","WSN",3900000,"5' 11""","165","R","R","40","Low","Cruz is the consensus best defensive player in the 2020 amateur class, a flashy and acrobatic shortstop defender. He is not very physical and needs to get much stronger in order to be a viable offensive player, and there's no consensus as to whether he will. His measurables indicate projection, but he is slightly built. A good and reasonable outcome here is a Freddy Galvis or Nick Allen type of player.","SlvxEVoIAAc",
"Denzer Guzman","2B","Int'l Amateur",2021,"16.9361111","Dominican Republic","LAA","LAA",1900000,"6' 2""","175","R","R","40","Med","Another prospect who has obvious frame-based power projection but is a fringe athlete, Guzman is an upright swinger with advanced feel to hit. He's likely a long-term fit at second base rather than short.","eqwJM3quywk",
"Kohei Arihara","SP","NPB",2021,"28.4277777","Waseda University (JPN)","Hokkaido Fighters","TEX",2,"6' 3""","225","R","R","40","Low","A modest velocity increase and increased use of both his sinker and changeup coincided with an uptick in Arihara's strikeout rate the last two years he pitched in Japan. His splitter, which sometimes leaves his hand with slider action, and changeup are the best of his many pitches. Though you'll occasionally see Arihara toss in a lollipop curveball around 70mph, he more evenly mixes a four seamer, sinker, slider, cutter, and the two offspeed pitches. The result is a very deep repertoire of modest quality, pitches that, aside from the change of pace stuff, relies on location to get outs rather than pure stuff. But Arihara does throw plenty of strikes. He has had one of the ten-lowest walk rates among qualified starters in NPB four of the last five years. He projects as a back of the rotation starter.","1QN18dc8f70",
"Shalin Polanco","CF","Int'l Amateur",2021,"16.9416666","Dominican Republic","PIT","PIT",2500000,"6' 0""","170","L","L","40","Med","I have mixed reports on Polanco, with some considering him a low-ceiling corner outfield prospect with a profile driven by his hit tool, while others see a big frame and power projection with swing-and-miss risk.",,
"Miguel Bleis","RF","Int'l Amateur",2021,"16.8722222","Dominican Republic","BOS","BOS",1500000,"6' 2""","170","R","R","40","High","Bleis is a righty corner outfield power projection prospect with a whippy, low-ball swing and room for about 30 pounds on his frame.",,
"Danny De Andrade","SS","Int'l Amateur",2021,"16.7638888","Venezuela","MIN","MIN",2250000,"6' 0""","165","R","R","40","Med","De Andrade is an international prospect straight out of central casting. He has a well-rounded collection of tools hovering around average quality, he's got a relatively projectable frame, and precocious baseball feel and instincts. He is not a remarkable or especially explosive athlete right now.",,
"Angel Genao","SS","Int'l Amateur",2021,"16.6555555","Dominican Republic","CLE","CLE",1000000,"5' 11""","150","R","R","40","Med","Cleveland seems to prioritize switch-hitting, up-the-middle players in the international market and they have yet another in Genao, who has become much more physical in the months leading up to signing. His swing is crude from both sides but he's a good athlete with a good frame.",,
"Victor Lizarraga","RHP","Int'l Amateur",2021,"17.125","Mexico","SDP","SDP",1100000,"6' 4""","180","R","R","35+","Med","This is the second year in a row that the Padres have signed the best young pitcher from Mexico, another projectable, athletic righty with middling present stuff but a frame on which you can dream.",,
"Starling Aguilar","1B","Int'l Amateur",2021,"16.9694444","Dominican Republic","SEA","SEA",1500000,"5' 10""","180","L","R","35+","Med","A big-bodied, lefty power prospect, Aguilar has among the most present raw power in the class but scouts are split as to whether he'll end up at third or first base.",,
"Yoelqui Cespedes","CF","CNS",2021,"23.3083333","Cuba","Granma","CHW",2050000,"5' 9""","205","R","R","35+","High","As you'd expect given his lineage, Cespedes has prodigious physical gifts, including elite arm strength. I do not think he'll hit enough to play a big league role, though. His long, noisy swing causes him to be late on velocity and Cespedes hasn't played or seen live pitching regularly for nearly four years, and when he has played, he's struck out a bunch. The error bar around Cuban players is big because the context in which they're evaluated is often strange, but I'm pessimistic about the bat based on the info I have.",,
"Jhonny Piron","CF","Int'l Amateur",2021,"16.6194444","Dominican Republic","TBR","TBR",1800000,"6' 2""","175","R","R","35+","High","Piron is a speedy, raw athlete with a pull-happy swing.",,
