"bpid","mlbid","Name","Age","Season","Team","G","GS","CG","IP","W","L","SV","BS","HLD","ERA","R","ER","1B","2B","3B","HR","TB","BB","K","HBP","TBF","Pitches"
141319,680736,"Justin Wrobleski",23,2024,"LAD",8,6,0,36.3,1,2,1,0,0,5.7,24,23,16,9,0,9,70,16,26,1,154,592
143786,686563,"Jonathan Cannon",23,2024,"CWS",23,21,0,124.3,5,10,1,0,0,4.49,65,62,80,24,3,18,209,40,91,4,522,2028
144003,687134,"Bradley Blalock",23,2024,,7,6,0,30.7,1,3,0,0,0,5.87,22,20,20,10,1,4,59,20,20,1,147,552
144267,686799,"Jack Kochanowicz",23,2024,"LAA",11,11,0,65.3,2,6,0,0,0,3.99,30,29,47,14,0,7,103,10,25,8,266,859
144355,686790,"Trevor McDonald",23,2024,"SF",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,39
144662,686796,"Blake Walston",23,2024,"AZ",7,2,0,18.3,1,0,0,0,0,4.42,12,9,10,2,0,4,30,10,18,3,83,343
144703,687924,"Julian Aguiar",23,2024,"CIN",7,7,0,31.7,2,1,0,0,0,6.25,22,22,16,6,0,8,60,12,19,5,140,530
144755,687847,"Marc Church",23,2024,"TEX",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,4,15
144845,687792,"DJ Herz",23,2024,"WSH",19,19,0,88.7,4,9,0,0,0,4.16,45,41,53,11,1,11,122,36,106,3,382,1586
144849,687863,"Porter Hodge",23,2024,"CHC",39,0,0,43,3,1,9,3,9,1.88,10,9,12,4,1,2,31,19,52,1,164,642
146336,690829,"Ben Joyce",23,2024,"LAA",31,1,0,34.7,2,0,4,0,8,2.08,8,8,23,2,0,1,31,14,33,4,142,541
146369,689147,"Orion Kerkering",23,2024,"PHI",64,2,0,63,5,3,0,2,14,2.29,20,16,37,12,0,2,69,17,74,8,257,1087
147491,689672,"Drew Thorpe",23,2024,"CWS",9,9,0,44.3,3,3,0,0,0,5.48,29,27,16,11,0,8,70,21,25,1,190,721
147607,689958,"Andrew Walters",23,2024,"CLE",9,1,0,8.7,1,0,0,0,0,0,1,0,0,1,0,0,2,5,6,0,32,132
148204,682989,"Victor Mederos",23,2024,"LAA",4,0,0,5.3,0,1,0,1,0,11.81,7,7,4,2,0,1,12,6,5,0,27,107
149389,692285,"Luis Guerrero",23,2024,"BOS",9,0,0,10,0,0,0,0,3,0,1,0,5,1,0,0,7,2,9,0,36,133
150972,700270,"Yilber Díaz",23,2024,"AZ",7,4,0,28.3,1,1,0,0,0,3.81,13,12,17,5,2,3,45,12,19,0,119,469
151438,700241,"Michael McGreevy",23,2024,"STL",4,3,0,23,3,0,0,0,0,1.96,5,5,11,3,1,1,24,2,18,1,86,311
158580,800049,"Adam Mazur",23,2024,"SD",8,8,0,33.7,1,3,0,0,0,7.49,28,28,22,11,1,6,71,21,22,2,158,584
170125,814005,"Jake Bloss",23,2024,"HOU",3,3,0,11.7,0,1,0,0,0,6.94,9,9,9,1,1,5,34,3,11,0,55,235
108552,666619,"Gregory Santos",24,2024,"SEA",8,0,0,7.3,0,1,0,1,2,4.91,4,4,5,2,0,0,9,1,6,1,31,112
109235,672552,"Jack O'Loughlin",24,2024,"OAK",4,0,0,9.7,0,0,0,0,0,4.66,5,5,10,2,0,1,18,5,6,0,47,176
109622,672710,"Roansy Contreras",24,2024,,49,3,0,68.3,2,4,2,2,1,4.35,36,33,38,14,0,11,110,31,56,4,298,1074
109907,672782,"Yoendrys Gómez",24,2024,"NYY",5,0,0,11.3,0,0,0,0,0,3.97,5,5,6,3,0,2,20,7,10,1,54,215
111079,672582,"Angel Zerpa",24,2024,"KC",60,0,0,53.7,2,0,0,1,12,3.86,24,23,44,8,1,6,87,20,49,2,240,951
111094,672860,"Prelander Berroa",24,2024,"CWS",17,0,0,19,1,0,0,0,3,3.32,7,7,9,4,0,2,25,13,26,1,83,348
111097,676962,"Ben Brown",24,2024,"CHC",15,8,0,55.3,1,3,0,0,1,3.58,22,22,27,9,0,5,65,19,64,1,222,849
111177,676282,"Joey Cantillo",24,2024,"CLE",9,8,0,38.7,2,4,0,0,0,4.89,22,21,18,11,0,6,64,15,44,0,163,711
111200,668881,"Hunter Greene",24,2024,"CIN",26,26,0,150.3,9,5,0,0,0,2.75,47,46,62,19,3,12,157,57,169,19,611,2563
112382,681293,"Spencer Arrighetti",24,2024,"HOU",29,28,0,145,7,13,0,0,0,4.53,80,73,85,32,1,21,236,65,171,7,632,2505
113344,678368,"Valente Bellozo",24,2024,"MIA",13,13,0,68.7,3,4,0,0,0,3.67,31,28,39,14,1,15,130,21,44,2,295,1094
114159,671212,"Joe Boyle",24,2024,"OAK",13,10,0,47.7,3,6,0,0,1,6.42,35,34,31,6,1,4,62,40,56,4,226,966
114818,680732,"Sean Burke",24,2024,"CWS",4,3,0,19,2,0,0,0,0,1.42,4,3,5,5,0,2,23,7,22,0,76,309
114867,681347,"Mike Burrows",24,2024,"PIT",1,0,0,3.3,1,0,0,0,0,2.7,2,1,1,0,0,1,5,3,2,0,14,68
114895,681066,"Ky Bush",24,2024,"CWS",4,4,0,17.7,0,3,0,0,0,5.6,11,11,13,5,0,2,31,16,11,1,87,328
118309,672282,"Reid Detmers",24,2024,"LAA",17,17,0,87.3,4,9,0,0,0,6.7,67,65,57,20,3,18,178,38,109,2,391,1559
119330,669438,"Mason Englert",24,2024,"DET",12,1,0,21.7,1,0,0,0,0,5.4,15,13,9,9,1,4,46,5,16,1,93,365
119979,678606,"Jose A. Ferrer",24,2024,"WSH",31,0,0,32,1,0,1,1,6,3.38,12,12,24,1,1,1,33,6,25,2,129,476
122650,678020,"Seth Halvorsen",24,2024,"COL",12,0,0,12.3,2,1,2,1,2,1.46,3,2,6,0,0,2,14,2,13,1,46,178
123266,678692,"Ronny Henriquez",24,2024,"MIN",16,1,0,19.3,1,1,0,1,2,3.26,8,7,16,1,1,2,29,5,15,2,82,303
123682,677955,"Jaden Hill",24,2024,"COL",9,0,0,10.7,0,0,0,0,1,5.06,7,6,6,0,0,2,14,4,6,2,45,151
123911,680880,"Grant Holman",24,2024,"OAK",18,0,0,15.7,1,1,0,1,5,4.02,8,7,13,3,0,1,23,9,16,1,73,292
126483,683004,"Jack Leiter",24,2024,"TEX",9,6,0,35.7,0,3,0,0,0,8.83,39,35,26,9,2,7,78,17,31,3,173,669
126657,669461,"Matthew Liberatore",24,2024,"STL",60,6,0,86,3,4,0,2,7,4.4,44,42,50,20,0,11,134,28,76,2,358,1358
127375,680744,"Ty Madden",24,2024,"DET",6,1,0,23,1,1,0,0,0,4.3,12,11,18,5,0,2,36,8,17,1,101,403
129854,682254,"Mason Montgomery",24,2024,"TB",9,0,0,9.7,0,0,0,0,3,1.86,2,2,3,3,0,0,9,5,17,0,37,158
130423,682610,"Roddery Muñoz",24,2024,"MIA",18,17,0,82.7,2,7,0,0,0,6.53,66,60,44,17,2,26,188,42,70,5,379,1485
130620,680897,"Nick Nastrini",24,2024,"CWS",9,8,0,35.7,0,7,0,0,0,7.07,33,28,18,6,1,7,61,36,26,1,174,734
130685,680891,"Jack Neely",24,2024,"CHC",6,0,0,6,0,0,0,0,0,9,6,6,6,0,0,2,14,2,7,0,28,98
131358,681857,"Reese Olson",24,2024,"DET",22,22,0,112.3,4,8,0,0,0,3.53,51,44,70,21,2,7,146,33,101,4,465,1840
131860,680730,"Mitchell Parker",24,2024,"WSH",29,29,0,151,7,10,0,0,0,4.29,82,72,103,31,2,18,243,43,133,2,646,2404
134629,677958,"Kumar Rocker",24,2024,"TEX",3,3,0,11.7,0,2,0,0,0,3.86,6,5,11,0,0,1,15,6,14,1,55,218
134746,680570,"Grayson Rodriguez",24,2024,"BAL",20,20,0,116.7,13,4,0,0,0,3.86,52,50,68,24,2,15,182,36,130,5,491,1879
134896,678495,"Randy Rodríguez",24,2024,"SF",35,1,0,52.3,3,2,0,2,5,4.3,29,25,31,10,2,4,73,18,53,3,221,879
136375,680885,"Spencer Schwellenbach",24,2024,"ATL",21,21,0,123.7,8,7,0,0,0,3.35,49,46,61,27,4,14,183,23,127,6,500,1887
136890,681217,"Chase Silseth",24,2024,"LAA",2,2,0,8,0,1,0,0,0,6.75,7,6,4,1,0,3,18,4,12,0,38,167
139369,682842,"Abner Uribe",24,2024,"MIL",14,0,0,14.3,2,2,3,2,0,6.91,11,11,12,1,1,1,21,12,14,0,66,258
140142,680767,"Victor Vodnik",24,2024,"COL",64,0,0,73.7,5,4,9,6,6,4.28,37,35,55,6,4,7,107,37,65,1,320,1347
140479,677960,"Ryan Weathers",24,2024,"MIA",16,16,0,86.7,5,6,0,0,0,3.63,39,35,49,18,0,11,129,24,80,9,367,1413
140736,669391,"Owen White",24,2024,"TEX",3,0,0,3,0,0,0,0,0,24,8,8,5,3,0,1,15,1,0,0,18,69
140930,668909,"Gavin Williams",24,2024,"CLE",16,16,0,76,3,10,0,0,0,4.86,42,41,45,17,3,7,116,32,79,3,332,1368
141131,668390,"Cole Winn",24,2024,"TEX",13,0,0,17.3,0,1,0,0,0,7.79,15,15,13,3,0,2,27,4,14,3,77,286
147789,690916,"Richard Fitts",24,2024,"BOS",4,4,0,20.7,0,1,0,0,0,1.74,6,4,16,3,0,0,22,7,9,0,85,314
148637,694361,"Will Klein",24,2024,,8,0,0,7.3,1,0,0,0,0,11.05,9,9,8,4,0,0,16,6,7,0,38,146
149134,694350,"Zach Brzykcy",24,2024,"WSH",6,0,0,5.7,0,0,0,0,0,14.29,9,9,6,1,0,2,16,3,4,0,28,104
149873,694037,"Daniel Palencia",24,2024,"CHC",10,0,0,14.7,0,1,1,0,0,6.14,11,10,9,5,0,0,19,12,16,1,69,263
151228,700669,"Gordon Graceffo",24,2024,"STL",2,1,0,7.7,0,1,0,0,0,4.7,4,4,2,4,0,1,14,2,6,0,31,105
151556,700249,"Cade Povich",24,2024,"BAL",16,16,0,79.7,3,9,0,0,0,5.2,49,46,44,22,2,12,142,34,69,3,352,1389
151557,701581,"David Festa",24,2024,"MIN",14,13,0,64.3,2,6,0,0,0,4.9,36,35,36,14,3,9,109,23,77,2,277,1099
151582,696136,"Jordan Wicks",24,2024,"CHC",11,10,0,46,2,4,0,0,0,5.48,31,28,35,10,1,9,94,20,42,2,212,852
151587,696131,"Mason Black",24,2024,"SF",9,8,0,36.3,1,5,0,0,0,6.44,26,26,29,10,0,7,77,15,31,3,169,663
151691,693433,"Bryan Woo",24,2024,"SEA",22,22,0,121.3,9,3,0,0,0,2.89,41,39,67,15,0,14,153,13,101,3,472,1715
163859,805673,"Zebby Matthews",24,2024,"MIN",9,9,0,37.7,1,4,0,0,0,6.69,31,28,31,9,0,11,93,11,43,2,177,717
106074,660813,"Brusdar Graterol",25,2024,"LAD",7,0,0,7.3,0,0,0,0,0,2.45,2,2,3,0,0,0,3,1,7,0,26,97
106846,664350,"Sixto Sánchez",25,2024,"MIA",14,7,0,35.7,0,3,0,1,1,6.06,29,24,31,9,0,3,61,14,17,3,162,621
107828,665620,"Deivi García",25,2024,"CWS",14,0,0,14,1,2,1,1,0,7.07,16,11,13,1,0,2,23,11,15,0,68,283
108274,662253,"Andrés Muñoz",25,2024,"SEA",60,0,0,59.3,3,7,22,5,6,2.12,16,14,22,3,0,6,52,26,77,3,232,950
108618,666277,"George Soriano",25,2024,"MIA",22,0,0,29.3,1,1,1,3,2,6.75,23,22,11,9,0,7,57,13,29,4,131,519
108619,667755,"José Soriano",25,2024,"LAA",22,20,0,113,6,7,0,0,1,3.42,50,43,65,17,1,8,134,45,97,9,468,1737
108978,665622,"Luis Medina",25,2024,"OAK",8,8,0,40,2,4,0,0,0,5.18,24,23,29,10,0,4,65,20,32,1,180,720
108993,668964,"Tobias Myers",25,2024,"MIL",27,25,0,138,9,6,0,0,0,3,52,46,88,19,1,18,201,36,127,5,569,2152
109125,670970,"Adrian Morejon",25,2024,"SD",60,0,0,63.7,3,2,2,2,12,2.83,24,20,40,17,2,4,96,21,71,1,272,1064
109279,670871,"Guillo Zuñiga",25,2024,"LAA",15,0,0,17.7,0,0,2,0,0,5.09,10,10,9,1,1,5,34,8,12,1,76,271
109297,672851,"Joan Adon",25,2024,"WSH",8,1,0,10.7,0,0,0,0,0,6.75,8,8,9,1,0,2,19,4,6,1,48,178
109417,669358,"Shane Baz",25,2024,"TB",14,14,0,79.3,4,3,0,0,0,3.06,28,27,41,7,0,9,91,27,69,4,319,1206
109654,668968,"Hans Crouse",25,2024,"LAA",25,0,0,25.3,4,3,0,1,1,2.84,10,8,8,4,0,2,24,17,34,2,107,437
109661,674444,"Steven Cruz",25,2024,"KC",5,0,0,5.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,18,82
110348,675650,"Michael Mercado",25,2024,"PHI",5,2,0,13,1,2,0,0,0,11.08,16,16,5,2,0,9,45,9,10,1,64,260
110594,668472,"Nick Pratto",25,2024,"KC",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,15
110990,676568,"Ricky Vanasco",25,2024,,4,0,0,4,1,0,0,0,1,6.75,3,3,2,1,0,0,4,0,1,0,15,45
111112,669022,"MacKenzie Gore",25,2024,"WSH",32,32,0,166.3,10,12,0,0,0,3.9,93,72,117,36,3,15,258,65,181,11,731,2994
111121,676661,"Max Lazar",25,2024,"PHI",11,0,0,13.7,0,0,0,0,0,4.61,7,7,7,4,0,2,23,2,9,0,54,214
111145,669422,"Matt Sauer",25,2024,"KC",14,0,0,16.3,0,0,0,0,0,7.71,14,14,15,4,1,3,38,11,9,1,84,327
111203,669084,"DL Hall",25,2024,"MIL",13,7,0,43,1,2,0,0,1,5.02,26,24,37,5,0,6,71,21,44,4,197,782
111327,671096,"Andrew Abbott",25,2024,"CIN",25,25,0,138,10,10,0,0,0,3.72,60,57,73,28,1,25,232,52,114,2,586,2333
111773,671106,"Logan Allen",25,2024,"CLE",20,20,0,97.3,8,5,0,0,0,5.73,63,62,62,26,3,22,211,41,79,4,432,1664
113331,678394,"Brayan Bello",25,2024,"BOS",30,30,0,162.3,14,8,0,0,0,4.49,84,81,107,31,0,19,245,64,153,11,702,2710
113630,676440,"Tanner Bibee",25,2024,"CLE",31,31,0,173.7,12,8,0,0,0,3.47,70,67,84,40,4,22,264,44,187,8,710,2851
114802,670103,"Raymond Burgos",25,2024,"SF",1,0,0,1,0,0,0,0,0,9,1,1,3,0,0,0,3,1,1,0,7,25
115693,676508,"Ben Casparius",25,2024,"LAD",3,0,0,8.3,2,0,0,0,0,2.16,3,2,7,2,0,0,11,4,12,0,37,156
115926,677944,"Slade Cecconi",25,2024,"AZ",20,13,0,77,2,7,0,0,0,6.66,57,57,52,23,1,16,165,17,64,4,338,1294
117181,676105,"Jeff Criswell",25,2024,"COL",13,0,0,19.7,1,0,0,0,0,2.75,6,6,12,4,0,4,36,9,27,1,87,354
117185,676979,"Garrett Crochet",25,2024,"CWS",32,32,0,146,6,12,0,0,0,3.58,61,58,78,25,2,18,206,33,209,5,595,2383
117434,675540,"Xzavion Curry",25,2024,,16,5,0,42.7,2,2,0,0,1,4.64,23,22,15,14,1,8,78,7,28,0,172,639
119133,671109,"Jake Eder",25,2024,"CWS",1,0,0,2,0,0,0,0,0,4.5,1,1,2,0,0,0,2,1,1,1,9,45
119526,669093,"Jeremiah Estrada",25,2024,"SD",62,0,0,61,6,3,1,3,16,2.95,22,20,30,8,0,4,62,23,94,0,252,1003
121446,669372,"J.T. Ginn",25,2024,"OAK",8,6,0,34,1,1,0,0,0,4.24,16,16,27,5,0,4,53,9,29,2,142,515
122708,676106,"Emerson Hancock",25,2024,"SEA",12,12,0,60.7,4,4,0,0,0,4.75,37,32,41,7,2,12,109,19,39,6,266,1013
124258,676428,"Brant Hurter",25,2024,"DET",10,1,0,45.3,6,1,0,0,1,2.58,13,13,23,6,1,4,54,6,38,0,175,645
126356,673929,"Jordan Leasure",25,2024,"CWS",33,0,0,31.3,0,2,2,4,9,6.32,22,22,18,7,1,6,59,18,26,1,142,560
126858,679845,"Nick Loftin",25,2024,"KC",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,8
129333,676974,"Max Meyer",25,2024,"MIA",11,11,0,57,3,5,0,0,0,5.68,38,36,28,18,2,14,126,19,46,3,248,968
129445,676272,"Bobby Miller",25,2024,"LAD",13,13,0,56,2,4,0,0,0,8.52,53,53,44,7,1,17,129,30,52,2,258,1053
129452,682243,"Bryce Miller",25,2024,"SEA",31,31,0,180.3,12,8,0,0,0,2.94,62,59,84,25,1,21,221,45,171,3,704,2749
129665,669387,"Carmen Mlodzinski",25,2024,"PIT",40,4,0,50.7,5,5,0,2,5,3.38,22,19,30,8,0,3,58,19,46,2,209,866
130608,677053,"Andrew Nardi",25,2024,"MIA",59,0,0,49.7,3,2,0,6,15,5.07,29,28,24,11,2,7,80,18,70,1,210,906
131491,682847,"Luis L. Ortiz",25,2024,"PIT",37,15,0,135.7,7,6,1,2,1,3.32,56,50,68,21,4,16,186,42,107,9,556,2143
131748,669467,"Andre Pallante",25,2024,"STL",29,20,0,121.3,8,8,0,0,1,3.78,55,51,81,21,0,8,155,48,94,2,509,1937
135525,671131,"Jackson Rutledge",25,2024,"WSH",3,1,0,8.3,0,0,0,0,0,3.24,3,3,4,3,0,1,14,2,9,1,34,139
136390,681035,"Christian Scott",25,2024,"NYM",9,9,0,47.3,0,3,0,0,0,4.56,24,24,29,7,1,8,78,12,39,2,197,787
137126,671922,"Cade Smith",25,2024,"CLE",74,0,0,75.3,6,1,1,2,28,1.91,16,16,30,19,1,1,75,17,103,3,289,1165
137960,675911,"Spencer Strider",25,2024,"ATL",2,2,0,9,0,0,0,0,0,7,7,7,6,2,0,2,18,5,12,0,42,178
138569,678906,"Kai-Wei Teng",25,2024,"SF",4,0,0,11,0,0,0,0,0,9.82,12,12,11,2,0,2,23,8,7,1,55,204
139775,681190,"Randy Vásquez",25,2024,"SD",20,20,0,98,4,7,0,0,0,4.87,56,53,81,23,2,13,185,29,62,6,431,1687
143704,686294,"Amos Willingham",25,2024,"WSH",1,0,0,1,0,0,0,0,0,18,2,2,1,0,0,1,5,0,1,0,5,20
143774,686613,"Hunter Brown",25,2024,"HOU",31,30,0,170,11,9,0,0,0,3.49,71,66,120,16,2,18,230,60,179,5,712,2888
144225,686751,"Seth Johnson",25,2024,"PHI",1,1,0,2.3,0,1,0,0,0,34.71,9,9,5,2,0,1,13,3,0,0,18,58
145031,687798,"Nick Robertson",25,2024,,9,0,0,13.3,0,0,0,0,0,4.05,6,6,10,2,0,3,26,2,14,0,55,217
145971,688107,"Robert Gasser",25,2024,"MIL",5,5,0,28,2,0,0,0,0,2.57,9,8,25,1,0,2,35,1,16,3,114,399
147196,689981,"River Ryan",25,2024,"LAD",4,4,0,20.3,1,0,0,0,0,1.33,4,3,12,2,0,1,20,9,18,0,81,291
147755,690925,"Clayton Beeter",25,2024,"NYY",3,0,0,3.7,0,0,0,0,0,4.91,2,2,2,2,0,0,6,1,5,0,15,51
147896,808967,"Yoshinobu Yamamoto",25,2024,"LAD",18,18,0,90,7,2,0,0,0,3,32,30,48,21,2,7,124,22,105,1,368,1469
148627,693312,"Kyle Nicolas",25,2024,"PIT",51,0,0,54.7,2,2,0,0,8,3.95,30,24,40,7,0,4,70,32,55,4,244,950
148629,693821,"Bryce Elder",25,2024,"ATL",10,10,0,49.7,2,5,0,0,0,6.52,37,36,45,9,2,8,101,17,46,2,226,864
148632,694297,"Brandon Pfaadt",25,2024,"AZ",32,32,0,181.7,11,10,0,0,0,4.71,103,95,122,31,6,24,298,42,185,4,760,2793
148638,694363,"Jared Shuster",25,2024,"CWS",39,4,0,73.3,2,5,0,2,3,4.3,38,35,51,13,1,9,116,33,56,0,321,1287
148650,694813,"Gavin Stone",25,2024,"LAD",25,25,1,140.3,11,5,0,0,0,3.53,55,55,88,25,2,18,216,37,116,2,580,2152
151232,702795,"Ryan Loutos",25,2024,"STL",3,0,0,2.3,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,10,35
151424,694646,"Chayce McDermott",25,2024,"BAL",1,1,0,4,0,0,0,0,0,6.75,3,3,4,0,0,1,8,2,3,0,18,82
151570,694738,"Landen Roupp",25,2024,"SF",23,4,0,50.3,1,2,0,0,1,3.58,21,20,28,13,0,2,62,26,47,1,217,907
151615,695243,"Mason Miller",25,2024,"OAK",55,0,0,65,2,2,28,3,0,2.49,23,18,25,5,0,6,59,21,104,1,249,1024
151694,701542,"Will Warren",25,2024,"NYY",6,5,0,22.7,0,3,0,0,0,10.32,27,26,17,11,0,5,59,10,29,1,110,458
105636,660644,"Vidal Bruján",26,2024,"MIA",2,0,0,1.7,0,0,0,0,0,43.2,8,8,5,0,0,2,13,3,1,1,16,54
105737,661403,"Emmanuel Clase",26,2024,"CLE",74,0,0,74.3,4,2,47,3,0,0.61,10,5,31,6,0,2,51,10,66,2,270,983
105894,661395,"Jhoan Duran",26,2024,"MIN",58,0,0,54.3,6,9,23,2,7,3.64,30,22,31,12,1,4,74,15,66,6,228,881
106040,661563,"Luis Gil",26,2024,"NYY",29,29,0,151.7,15,7,0,0,0,3.5,60,59,56,28,2,18,190,77,171,8,637,2661
106668,663969,"Tyler Phillips",26,2024,"PHI",8,7,1,36.7,4,1,0,0,0,6.87,28,28,29,7,0,9,79,7,28,2,160,578
106748,660844,"Leo Rivas",26,2024,"SEA",2,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,9,20
106940,647336,"Michael Soroka",26,2024,"CWS",25,9,0,79.7,0,10,0,1,2,4.74,49,42,40,9,4,13,122,44,84,3,347,1438
106975,660761,"José Suarez",26,2024,"LAA",22,3,0,52.3,1,2,1,0,0,6.02,38,35,29,17,4,7,103,27,56,4,240,987
107170,663465,"Kolby Allard",26,2024,"PHI",7,4,0,27,2,0,0,0,0,5,15,15,23,4,2,5,57,8,23,0,117,436
107172,663474,"Triston McKenzie",26,2024,"CLE",16,16,0,75.7,3,5,0,0,0,5.11,46,43,39,10,1,19,138,49,74,1,340,1304
107428,665871,"Javier Assad",26,2024,"CHC",29,29,0,147,7,6,0,0,0,3.73,64,61,91,30,2,20,237,63,124,5,638,2538
107530,666745,"Jhony Brito",26,2024,"SD",26,0,0,43.7,1,2,0,3,0,4.12,23,20,40,4,1,4,67,10,29,0,185,628
107559,665795,"Edward Cabrera",26,2024,"MIA",20,20,0,96.3,4,8,0,0,0,4.95,60,53,54,12,1,15,141,49,107,5,417,1732
107597,528748,"Humberto Castellanos",26,2024,"AZ",7,0,0,10.3,0,0,1,0,0,5.23,6,6,8,3,0,0,14,4,7,2,48,186
107732,666808,"Camilo Doval",26,2024,"SF",62,0,0,59,5,3,23,5,5,4.88,35,32,32,15,2,5,88,39,78,2,271,1116
107817,666818,"Luis Frías",26,2024,,11,0,0,9.7,0,1,0,1,0,13.97,16,15,12,4,1,2,31,7,12,0,53,229
108272,666205,"Kyle Muller",26,2024,"OAK",21,0,0,49.3,0,1,0,0,0,4.01,25,22,32,10,0,6,76,10,36,1,202,725
108464,669308,"Sean Reynolds",26,2024,"SD",9,0,0,11,0,0,0,0,0,0.82,1,1,7,3,0,0,13,5,21,1,49,225
108504,666720,"Yerry Rodríguez",26,2024,,16,0,0,21.7,1,0,0,0,0,8.72,22,21,13,6,0,7,53,13,17,2,105,438
108516,666163,"Ben Rortvedt",26,2024,"TB",1,0,0,2,0,0,0,0,0,4.5,1,1,1,1,0,1,7,2,1,0,11,36
108756,666214,"Joey Wentz",26,2024,,46,0,0,67.3,1,2,1,0,2,4.68,37,35,49,9,0,8,99,33,73,4,304,1224
108918,669796,"Jose E. Hernandez",26,2024,"PIT",7,0,0,5.3,1,1,1,0,1,3.38,2,2,2,2,0,1,10,4,4,0,25,89
