Top 100,Org Rk,Name,Org,Pos,Current Level,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,PlayerId
126,5,"David Peterson","NYM","LHP","MLB",,"50",2019,"Med","23.3","6' 6""","240","L","L","2017 Draft Rnd 1 (NYM)","Oregon","","20302"
127,12,"Cal Quantrill","SDP","RHP","AAA",,"50",2018,"Med","23.9","6' 3""","195","L","R","2016 Draft Rnd 1 (SDP)","Stanford","xNKf2IgKKqY","19312"
128,5,"Sandy Alcantara","MIA","RHP","MLB",,"50",2018,"High","23.3","6' 4""","170","R","R","2013 J2 (STL)","Dominican Republic","O4yyOfElw3Y","18684"
129,3,"Adbert Alzolay","CHC","RHP","MLB",,"50",2019,"High","23.8","6' 0""","180","R","R","2012 J2 (CHC)","Venezuela","hnS3Oz08Xc4","17859"
130,7,"Beau Burrows","DET","RHP","MLB",,"50",2019,"Med","22.3","6' 2""","200","R","R","2015 Draft Rnd 1 (DET)","Weatherford HS (TX)","wrcFf1O63-8","18873"
131,11,"Alec Hansen","CHW","RHP","",,"50",2020,"High","24.2","6' 7""","240","R","R","2016 Draft Rnd 2 (CHW)","Oklahoma","VQzZu_90hZk","sa738344"
132,9,"Anthony Banda","TBR","LHP","MLB",,"50",2019,"Med","25.4","6' 2""","190","L","L","2012 Draft Rnd 10 (MIL)","San Jacinto JC (TX)","","14706"
0,1,"Jay Groome","BOS","LHP","",-1,"45+",2021,"High","20.4","6' 5""","220","L","L","2016 Draft Rnd 1 (BOS)","Barnegat HS (NJ)","2KZQaauTk3Y","sa917925"
0,1,"Yusniel Díaz","BAL","RF","",1,"45+",2019,"Med","22.2","6' 1""","195","R","R","2015 J2 (LAD)","Cuba","","18905"
0,1,"Kyle Lewis","SEA","RF","",,"45",2020,"High","23.5","6' 4""","205","R","R","2016 Draft Rnd 1 (SEA)","Mercer","nwMhSV87AD0","19508"
0,2,"Ryan Mountcastle","BAL","LF","MLB",1,"45+",2019,"High","21.9","6' 3""","185","R","R","2015 Draft Rnd 1 (BAL)","Hagerty HS (FL)","Mf-E2t1dIxo","18373"
0,2,"MJ Melendez","KCR","C","",,"45+",2022,"High","20.1","6' 1""","185","L","L","2017 Draft Rnd 2 (KCR)","Westminster Christian HS (FL)","9Ls6iGYlBsU","22197"
0,2,"Michael Chavis","BOS","1B","AAA",-1,"45",2018,"Med","23.4","5' 10""","190","R","R","2014 Draft Rnd 1 (BOS)","Sprayberry HS (GA)","eaAbGhTyWvg","17321"
0,2,"Evan White","SEA","1B","",,"45",2020,"Med","22.7","6' 3""","205","R","L","2017 Draft Rnd 1 (SEA)","Kentucky","","20078"
0,3,"DL Hall","BAL","LHP","MLB",1,"45+",2020,"High","20.3","6' 0""","180","L","L","2017 Draft Rnd 1 (BAL)","Valdosta HS (GA)","uN2TRUVwjs4","22207"
0,3,"Khalil Lee","KCR","RF","",,"45+",2020,"Med","20.5","5' 10""","190","L","L","2016 Draft Rnd 3 (KCR)","Flint Hill HS (VA)","","19952"
0,3,"Mason Denaburg","WSN","RHP",,,"45+",2022,"High","19.4","6' 3""","190","R","R","2018 Draft Rnd 1 (WAS)","Merritt Island HS (FL)","UE-e6imiR6U",
0,3,"Jazz Chisholm Jr.","ARI","SS","MLB",,"45+",2022,"High","20.9","5' 11""","165","L","R","2015 J2 (ARI)","Bahamas","ir2kVOIT4mE","20454"
0,3,"Garrett Hampson","COL","2B","MLB",1,"45",2018,"Med","24.2","5' 11""","185","R","R","2016 Draft Rnd 3 (COL)","Long Beach State","dAUevwXdsms","19262"
0,3,"Triston Casas","BOS","1B","MLB",,"45",2022,"Med","19.0","6' 4""","238","L","R","2018 Draft Rnd 1 (BOS)","American Heritage HS (FL)","900T_ozI7iY","22514"
0,3,"Marco Luciano","SFG","SS",,,"45",2023,"High","16.7","6' 2""","180","R","R","2018 J2 (SFG)","Dominican Republic","wU6imWFo4hM",
0,3,"Logan Gilbert","SEA","RHP",,,"45",2020,"Med","21.7","6' 5""","195","R","R","2018 Draft Rnd 1 (SEA)","Stetson","l0Jw6egZzJg",
0,4,"Jorge Mateo","OAK","CF","MLB",-1,"45+",2019,"High","23.5","6' 0""","188","R","R","2011 J2 (NYY)","Dominican Republic","E87r8QWTQ8c","17273"
0,4,"Jonathan Loáisiga","NYY","RHP","AAA",1,"45+",2018,"High","24.2","5' 11""","165","R","R","2012 J2 (NYY)","Nicaragua","","19753"
0,4,"Brett Cumberland","BAL","C","",,"45+",2019,"High","23.5","6' 0""","188","S","R","2016 Draft Rnd 2 (ATL)","Cal","5G6gKGKiphs","sa915611"
0,4,"Brady Singer","KCR","RHP",,,"45+",2020,"Low","22.4","6' 5""","180","R","R","2018 Draft Rnd 1 (KCR)","Florida","bt_UzSuYpW8",
0,4,"Daulton Varsho","ARI","C","MLB",,"45+",2021,"High","22.5","5' 10""","190","L","R","2017 Draft Rnd 2 (ARI)","Wisconsin-Milwaukee","","19918"
0,4,"Adam Haseley","PHI","CF","",,"45+",2019,"Med","22.7","6' 1""","195","R","R","2017 Draft Rnd 1 (PHI)","Virginia","lJlQzfoO49c","19878"
0,4,"Nico Hoerner","CHC","2B","MLB",,"45",2020,"Low","21.6","5' 11""","195","R","R","2018 Draft Rnd 1 (CHC)","Stanford","kb8Od-rn8Zs","21479"
